1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
2515,0,4,1,1219,4,816,484,1,1975,2515,3,32668,70,0,0,3,6,2035,1957,1975,200624
958,620,3,1,403,3,238,240,1,1941,1578,2,9490,79,0,0,7,6,806,1941,1950,133000
979,224,3,1,185,2,524,352,1,1950,1203,4,7015,70,161,0,4,5,709,1950,1950,110000
1156,866,4,1,392,3,768,505,3,1977,2022,3,10005,83,299,117,5,7,1160,1977,1977,192000
525,567,3,1,0,1,525,264,1,1971,1092,3,1680,21,381,0,5,6,525,1971,1971,88000
1022,0,2,1,247,1,310,280,1,1956,1022,3,7200,60,0,30,4,5,1022,1910,2006,85000
1464,0,3,4,929,6,556,754,1,2007,1464,4,15256,49,84,160,5,8,1485,2007,2007,282922
780,595,3,1,0,1,780,544,1,1979,1375,4,9000,50,0,162,6,6,780,1937,1950,141000
2411,2065,4,3,2096,6,300,813,3,1996,4476,5,15623,160,0,78,5,10,2396,1996,1996,745000
551,551,2,1,239,6,312,480,1,2004,1102,4,5105,70,0,60,5,7,551,2004,2004,148800
1352,0,2,1,0,1,1352,466,1,2006,1352,4,4230,47,0,241,5,7,1352,2006,2007,208900
1680,0,4,1,0,1,1680,528,1,1976,1680,3,11500,70,164,0,6,5,1680,1976,1976,136905
1005,978,3,1,694,6,284,490,3,1999,1983,4,10762,70,344,0,5,7,978,1999,1999,225000
900,0,3,3,769,5,95,288,2,1967,900,3,7838,68,0,144,5,5,864,1967,1967,123000
1082,0,2,1,336,3,746,240,1,1948,1082,3,11664,60,206,130,5,6,1082,1948,1950,119200
1314,0,3,1,922,4,392,294,2,1957,1314,3,8400,70,0,0,6,5,1314,1957,1957,145000
