KitchenQual,OverallQual,YearBuilt,GrLivArea,TotalBsmtSF
4,9,2007,1828,1822
3,5,1962,894,894
3,5,1921,964,876
4,8,2002,1689,1568
4,7,2001,1541,1541
4,7,2004,1221,1221
3,6,1965,1324,1088
4,7,1999,1416,696
3,4,1973,988,462
3,6,1941,1218,735
4,7,2003,1656,746
4,6,2005,1362,1362
3,6,1966,1839,756
3,6,1954,1375,1367
4,5,1948,1122,924
4,5,1978,1432,1360
4,7,2007,1456,728
4,7,1990,1217,1188
3,5,1950,1040,0
4,6,2009,1224,612
3,7,1931,1774,952
3,5,1900,1367,861
4,5,1938,1360,803
4,6,2004,848,848
4,8,2003,2262,1482
3,4,1951,1220,836
4,7,2004,1414,1375
3,6,1917,2058,735
3,6,1920,1198,901
5,8,2000,1659,1501
3,6,1920,1012,1012
3,7,1920,3082,824
4,5,1900,1812,360
4,7,2001,1929,1057
3,5,1976,954,911
5,9,2006,1838,1838
4,6,1954,1640,1296
3,5,1959,1148,1148
3,5,1971,950,950
4,8,1993,1911,777
3,6,1923,1635,1065
4,7,2007,1316,1316
3,6,1970,1442,1442
3,5,1971,1078,1078
2,4,1961,1120,1040
4,8,2002,1419,408
3,7,1946,1389,651
3,5,1954,1063,1056
5,9,2003,1792,1792
3,6,1998,1216,1216
4,7,1920,1762,596
4,7,2004,1959,847
3,6,1977,1208,1208
3,5,1958,1524,874
4,4,1922,1154,796
3,5,1950,1048,0
3,5,1938,886,190
3,5,1979,943,943
4,7,2005,1768,866
4,9,1999,2599,1393
3,5,1958,912,912
3,5,1956,882,0
4,6,1998,1337,1405
5,10,2006,2076,2076
4,8,1995,2531,1318
4,5,1937,1768,731
4,8,2006,1625,1573
4,6,1958,2144,1444
4,10,1893,2775,1237
3,6,1984,1868,585
4,7,2000,1525,1525
4,8,2007,1571,1571
3,5,1910,796,796
3,5,1892,2372,994
4,7,1991,1472,384
3,4,1965,960,648
3,5,2005,1838,732
4,6,1974,1309,1040
5,9,2006,2643,2153
3,5,1941,1131,676
3,5,1952,1960,960
3,5,1963,1144,1144
3,6,1980,1056,1056
2,4,1941,693,693
4,6,1997,1494,1479
4,8,2004,1646,1594
3,5,1972,864,864
4,8,2008,1566,1566
3,6,1972,1395,723
3,4,1925,1208,780
3,5,1920,1513,939
3,6,1931,1367,884
3,5,1966,955,955
3,3,1922,1077,1007
3,5,1955,1056,1056
4,7,2005,1553,756
4,7,2005,1614,1614
5,8,2008,2042,2042
3,5,1921,1073,1073
3,5,1948,1285,672
3,6,1970,2117,1205
3,4,1920,605,528
3,5,1959,1150,1150
4,6,2005,1456,728
5,7,1961,999,944
4,6,2005,1500,750
3,5,1953,1336,1165
3,6,2004,1593,839
5,9,2008,2184,1104
4,7,2003,1560,1560
4,5,1942,1644,728
4,4,1970,630,630
3,6,1976,1113,1143
4,7,2006,2172,1063
